〇	líng,xīng,yuán
长袜	cháng,wà
长物	zhàng,wù
长夏	cháng,xià
长线	cháng,xiàn
长相	zhǎng,xiàng
长啸	cháng,xiào
长兴	cháng,xīng
长兄	zhǎng,xiōng
长性	cháng,xìng
长袖	cháng,xiù
长夜	cháng,yè
长衣	cháng,yī
长揖	cháng,yī
长音	cháng,yīn
长吟	cháng,yín
长缨	cháng,yīng
长幼	cháng,yòu
长于	cháng,yú
长圆	cháng,yuán
长远	cháng,yuǎn
长斋	cháng,zhāi
长征	cháng,zhēng
长者	zhǎng,zhě
长子	zhǎng,zǐ
长足	cháng,zú
尝鲜	cháng,xiān
偿还	cháng,huán
常服	cháng,fú
厂长	chǎng,zhǎng
厂房	chǎng,fáng
厂规	chǎng,guī
厂家	chǎng,jiā
厂矿	chǎng,kuàng
厂商	chǎng,shāng
厂史	chǎng,shǐ
厂休	chǎng,xiū
厂子	chǎng,zǐ
场次	chǎng,cì
场地	chǎng,dì
场记	chǎng,jì
场合	chǎng,hé
场景	chǎng,jǐng
场面	chǎng,miàn
场所	chǎng,suǒ
场屋	chǎng,wū
场子	chǎng,zi
场院	cháng,yuàn
敞车	chǎng,chē
畅行	chàng,xíng
倡导	chàng,dǎo
倡言	chàng,yán
倡议	chàng,yì
倡优	chàng,yōu
唱和	chàng,hè
唱头	chàng,tóu
抄查	chāo,zhā
抄家	chāo,jiā
钞票	chāo,piào
抄没	chāo,méi
超车	chāo,chē
超度	chāo,dù
超过	chāo,guò
超假	chāo,jiǎ
超员	chāo,yuán
超载	chāo,zài
超重	chāo,zhòng
朝拜	cháo,bài
朝代	cháo,dài
朝臣	cháo,chén
朝服	cháo,fú
朝纲	cháo,gāng
朝贡	cháo,gòng
朝晖	zhāo,huī
朝见	cháo,jiàn
朝觐	cháo,jìn
朝露	zhāo,lù
朝暮	zhāo,mù
朝气	zhāo,qì
朝日	cháo,rì
朝上	cháo,shàng
朝圣	cháo,shèng
朝天	cháo,tiān
朝廷	cháo,tíng
朝夕	zhāo,xī
朝霞	zhāo,xiá
朝向	cháo,xiàng
朝野	cháo,yě
朝政	cháo,zhèng
朝着	cháo,zhe
嘲讽	cháo,fěng
嘲笑	cháo,xiào
嘲弄	cháo,nòng
嘲谑	cháo,xuè
嘲哳	zhāo,zhā
潮红	cháo,hóng
潮解	cháo,jiě
潮头	cháo,tóu
潮涌	cháo,yǒng
吵吵	chāo,chao
吵翻	chǎo,fān
吵架	chǎo,jià
吵闹	chǎo,nào
吵嚷	chǎo,rǎng
吵扰	chǎo,rǎo
吵嘴	chǎo,zuǐ
车把	chē,bǎ
车帮	chē,bāng
车场	chē,chǎng
车船	chē,chuán
车床	chē,chuáng
车窗	chē,chuāng
车次	chē,cì
车刀	chē,dāo
车道	chē,dào
车灯	chē,dēng
车队	chē,duì
车费	chē,fèi
车夫	chē,fū
车辐	chē,fú
车盖	chē,gài
车工	chē,gōng
车钩	chē,gōu
车技	chē,jì
车祸	chē,huò
车价	chē,jià
车驾	chē,jià
车间	chē,jiān
车架	chē,jià
车库	chē,kù
车辆	chē,liàng
车裂	chē,liè
车流	chē,liú
车铃	chē,líng
车轮	chē,lún
车马	chē,mǎ
车门	chē,mén
车盘	chē,pán
车皮	chē,pí
车票	chē,piào
车前	chē,qián
车钱	chē,qián
车身	chē,shēn
车手	chē,shǒu
车速	chē,sù
车胎	chē,tāi
车条	chē,tiáo
车头	chē,tóu
车尾	chē,wěi
车辖	chē,xiá
车厢	chē,xiāng
车箱	chē,xiāng
车削	chē,xiāo
车行	chē,xíng
车辕	chē,yuán
车载	chē,zài
车站	chē,zhàn
车掌	chē,zhǎng
车照	chē,zhào
车辙	chē,zhé
车轴	chē,zhóu
车主	chē,zhǔ
车子	chē,zi
车座	chē,zuò
彻查	chè,zhā
彻底	chè,dǐ
彻骨	chè,gǔ
坼裂	chè,liè
撤差	chè,chāi
撤佃	chè,diàn
尘芥	chén,jiè
尘沙	chén,shā
臣仆	chén,pú
臣服	chén,fú
沉没	chén,mò
沉闷	chén,mèn
沉溺	chén,nì
沉思	chén,sī
沉重	chén,zhòng
沉着	chén,zhuó
陈说	chén,shuō
晨风	chén,fēng
闯将	chuǎng,jiàng
闯劲	chuǎng,jìn
闯王	chuǎng,wáng
称便	chēng,biàn
称霸	chēng,bà
称兵	chēng,bīng
称病	chēng,bìng
称臣	chēng,chén
称贷	chēng,dài
称道	chēng,dào
称帝	chēng,dì
称号	chēng,hào
称贺	chēng,hè
称呼	chēng,hū
称快	chēng,kuài
称量	chēng,liáng
称赏	chēng,shǎng
称身	chèn,shēn
称述	chēng,shù
称说	chēng,shuō
称叹	chēng,tàn
称颂	chēng,sòng
称为	chēng,wéi
称羡	chēng,xiàn
称谓	chēng,wèi
称谢	chēng,xiè
称心	chèn,xīn
称许	chēng,xǔ
称雄	chēng,xióng
称扬	chēng,yáng
称引	chēng,yǐn
称意	chēng,yì
称誉	chēng,yù
称愿	chèn,yuàn
称赞	chēng,zàn
称重	chēng,zhòng
称职	chèn,zhí
称作	chēng,zuò
趁便	chèn,biàn
趁空	chèn,kòng
谶语	chèn,yǔ
撑杆	chēng,gān
丞相	chéng,xiàng
成长	chéng,zhǎng
成仇	chéng,chóu
成丁	chéng,dīng
成分	chéng,fèn
成都	chéng,dū
成份	chéng,fèn
成风	chéng,fēng
成服	chéng,fú
成化	chéng,huà
成家	chéng,jiā
成见	chéng,jiàn
成亲	chéng,qīn
成趣	chéng,qù
成数	chéng,shù
成说	chéng,shuō
成体	chéng,tǐ
成为	chéng,wéi
成语	chéng,yǔ
成行	chéng,háng
成员	chéng,yuán
成约	chéng,yuē
呈露	chéng,lù
呈上	chéng,shàng
呈正	chéng,zhèng
承担	chéng,dān
承当	chéng,dāng
承兑	chéng,duì
承浆	chéng,jiāng
承蒙	chéng,méng
承应	chéng,yìng
承载	chéng,zài
承重	chéng,zhòng
承转	chéng,zhuǎn
诚服	chéng,fú
诚朴	chéng,piáo
诚信	chéng,xìn
城堡	chéng,bǎo
城垛	chéng,duǒ
城区	chéng,qū
城阙	chéng,què
城头	chéng,tóu
乘便	chéng,biàn
乘乘	chéng,chéng
乘车	chéng,chē
乘除	chéng,chú
乘法	chéng,fǎ
乘风	chéng,fēng
乘方	chéng,fāng
乘号	chéng,hào
乘机	chéng,jī
乘积	chéng,jī
乘警	chéng,jǐng
乘客	chéng,kè
乘马	chéng,mǎ
乘凉	chéng,liáng
乘幂	chéng,mì
乘胜	chéng,shèng
乘势	chéng,shì
乘数	chéng,shù
乘隙	chéng,xì
乘兴	chéng,xìng
乘虚	chéng,xū
乘坐	chéng,zuò
程度	chéng,dù
惩处	chéng,chǔ
澄碧	chéng,bì
澄澈	chéng,chè
澄净	chéng,jìng
澄江	chéng,jiāng
澄明	chéng,míng
澄清	chéng,qīng
澄沙	dèng,shā
澄莹	chéng,yíng
橙红	chéng,hóng
逞能	chěng,néng
逞强	chěng,qiáng
秤杆	chèng,gǎn
吃喝	chī,hē
吃劲	chī,jìn
吃食	chī,shí
吃相	chī,xiàng
吃重	chī,zhòng
哧溜	chī,liū
鸱尾	chī,wěi
迟疑	chí,yí
持家	chí,jiā
持节	chí,jié
持论	chí,lùn
持有	chí,yǒu
持重	chí,zhòng
持正	chí,zhèng
匙子	chí,zi
尺寸	chǐ,cùn
尺幅	chǐ,fú
尺度	chǐ,dù
尺牍	chǐ,dú
尺骨	chǐ,gǔ
尺蠖	chǐ,huò
尺码	chǐ,mǎ
尺泽	chǐ,zé
尺子	chǐ,zi
齿冠	chǐ,guān
齿条	chǐ,tiáo
齿龈	chǐ,yín
耻骨	chǐ,gǔ
叱喝	chì,hè
叱令	chì,lìng
赤背	chì,bèi
赤地	chì,dì
赤红	chì,hóng
赤露	chì,lù
饬令	chì,lìng
炽盛	chì,shèng
翅鞘	chì,qiào
充当	chōng,dāng
充任	chōng,rèn
充分	chōng,fèn
充塞	chōng,sè
充数	chōng,shù
充填	chōng,tián
充血	chōng,xuè
冲冲	chōng,chōng
冲刺	chōng,cì
冲床	chòng,chuáng
冲淡	chōng,dàn
冲动	chōng,dòng
冲锋	chōng,fēng
冲犯	chōng,fàn
冲服	chōng,fú
冲击	chōng,jī
冲积	chōng,jī
冲激	chōng,jī
冲剂	chōng,jì
冲劲	chòng,jìn
冲决	chōng,jué
冲克	chōng,kè
冲孔	chòng,kǒng
冲口	chōng,kǒu
冲扩	chōng,kuò
冲浪	chōng,làng
冲力	chōng,lì
冲凉	chōng,liáng
冲量	chōng,liàng
冲脉	chōng,mài
冲破	chōng,pò
冲散	chōng,sàn
冲杀	chōng,shā
冲刷	chōng,shuā
冲水	chōng,shuǐ
冲塌	chōng,tā
冲腾	chōng,téng
冲天	chōng,tiān
冲突	chōng,tū
冲洗	chōng,xǐ
冲喜	chōng,xǐ
冲销	chōng,xiāo
冲压	chòng,yā
冲阳	chōng,yáng
冲要	chōng,yào
冲账	chōng,zhàng
冲帐	chōng,zhàng
冲撞	chōng,zhuàng
冲子	chòng,zi
宠信	chǒng,xìn
抽查	chōu,zhā
抽打	chōu,dǎ
抽调	chōu,diào
抽丁	chōu,dīng
抽斗	chōu,dǒu
抽风	chōu,fēng
抽空	chōu,kōng
抽缩	chōu,suō
抽苔	chōu,tái
抽头	chōu,tóu
抽咽	chōu,yè
仇敌	chóu,dí
仇恨	chóu,hèn
仇家	chóu,jiā
仇人	chóu,rén
仇视	chóu,shì
仇杀	chóu,shā
仇外	chóu,wài
仇隙	chóu,xì
仇怨	chóu,yuàn
绸缪	chóu,móu
愁闷	chóu,mèn
愁思	chóu,sī
稠度	chóu,dù
筹划	chóu,huà
稠糊	chóu,hū
酬答	chóu,dá
酬和	chóu,hè
酬应	chóu,yìng
丑恶	chǒu,è
丑化	chǒu,huà
丑角	chǒu,jué
丑相	chǒu,xiàng
丑行	chǒu,xíng
瞅见	chǒu,jiàn
臭虫	chòu,chóng
臭椿	chòu,chūn
臭骂	chòu,mà
臭美	chòu,měi
臭棋	chòu,qí
臭气	chòu,qì
臭味	chòu,wèi
臭氧	chòu,yǎng
出榜	chū,bǎng
出奔	chū,bēn
出差	chū,chāi
出厂	chū,chǎng
出场	chū,chǎng
出车	chū,chē
出乘	chū,chéng
出处	chū,chù
出发	chū,fā
出港	chū,gǎng
出汗	chū,hàn
出价	chū,jià
出家	chū,jiā
出溜	chū,liū
出笼	chū,lóng
出落	chū,là
出没	chū,mò
出奇	chū,qí
出任	chū,rèn
出圈	chū,quān
出塞	chū,sài
出丧	chū,sāng
出头	chū,tóu
出台	chū,tái
出亡	chū,wáng
出行	chū,xíng
初创	chū,chuàng
出血	chū,xuè
初度	chū,dù
初会	chū,huì
初见	chū,jiàn
初露	chū,lù
初期	chū,qī
初中	chū,zhōng
初叶	chū,yè
除服	chú,fú
除号	chú,hào
除了	chú,le
除丧	chú,sàng
除数	chú,shù
锄地	chú,dì
锄头	chú,tou
雏燕	chú,yàn
础石	chǔ,shí
橱柜	chú,guì
储藏	chǔ,cáng
储量	chǔ,liàng
楚王	chǔ,wáng
处罚	chǔ,fá
处处	chǔ,chù
处方	chǔ,fāng
处分	chǔ,fèn
处境	chǔ,jìng
处理	chǔ,lǐ
处决	chǔ,jué
处女	chǔ,nǚ
处士	chǔ,shì
处身	chǔ,shēn
处世	chǔ,shì
处事	chǔ,shì
处暑	chǔ,shǔ
处死	chǔ,sǐ
处所	chù,suǒ
处刑	chǔ,xíng
处于	chǔ,yú
处治	chǔ,zhì
处置	chǔ,zhì
处子	chǔ,zǐ
怵头	chù,tóu
搐缩	chù,suō
触发	chù,fā
触角	chù,jiǎo
触觉	chù,jué
憷头	chù,tóu
揣测	chuǎi,cè
揣度	chuǎi,duó
揣摸	chuǎi,mō
揣摩	chuǎi,mó
揣想	chuǎi,xiǎng
穿刺	chuān,cì
穿行	chuān,xíng
穿着	chuān,zhe
传本	chuán,běn
传播	chuán,bō
传布	chuán,bù
传抄	chuán,chāo
传承	chuán,chéng
传唱	chuán,chàng
传达	chuán,dá
传代	chuán,dài
传单	chuán,dān
传导	chuán,dǎo
传道	chuán,dào
传动	chuán,dòng
传递	chuán,dì
传粉	chuán,fěn
传感	chuán,gǎn
传告	chuán,gào
传呼	chuán,hū
传话	chuán,huà
传唤	chuán,huàn
传记	zhuàn,jì
传家	chuán,jiā
传教	chuán,jiào
传经	chuán,jīng
传令	chuán,lìng
传略	zhuàn,lüè
传媒	chuán,méi
传名	chuán,míng
传票	chuán,piào
传奇	chuán,qí
传球	chuán,qiú
传情	chuán,qíng
传染	chuán,rǎn
传热	chuán,rè
传人	chuán,rén
传神	chuán,shén
传声	chuán,shēng
传入	chuán,rù
传世	chuán,shì
传输	chuán,shū
传授	chuán,shòu
传送	chuán,sòng
传说	chuán,shuō
传诵	chuán,sòng
传颂	chuán,sòng
传统	chuán,tǒng
传闻	chuán,wén
传习	chuán,xí
传讯	chuán,xùn
传扬	chuán,yáng
传言	chuán,yán
传译	chuán,yì
传阅	chuán,yuè
传真	chuán,zhēn
传质	chuán,zhì
传旨	chuán,zhǐ
传种	chuán,zhǒng
船夫	chuán,fū
串供	chuàn,gòng
串戏	chuàn,xì
窗扇	chuāng,shàn
窗台	chuāng,tái
床单	chuáng,dān
床铺	chuáng,pù
床头	chuáng,tóu
创办	chuàng,bàn
创汇	chuàng,huì
创出	chuàng,chū
创痕	chuāng,hén
创建	chuàng,jiàn
创见	chuàng,jiàn
创刊	chuàng,kān
创口	chuāng,kǒu
创立	chuàng,lì
创利	chuàng,lì
创面	chuāng,miàn
创伤	chuāng,shāng
创始	chuàng,shǐ
创设	chuàng,shè
创痛	chuāng,tòng
创收	chuàng,shōu
创新	chuàng,xīn
创议	chuàng,yì
创业	chuàng,yè
创意	chuàng,yì
创优	chuàng,yōu
创制	chuàng,zhì
创造	chuàng,zào
创作	chuàng,zuò
吹打	chuī,dǎ
吹弹	chuī,tán
吹风	chuī,fēng
吹拂	chuī,fú
吹散	chuī,sàn
吹沙	chuī,shā
吹台	chuī,tái
吹嘘	chuī,xū
垂落	chuí,luò
垂体	chuí,tǐ
垂头	chuí,tóu
锤打	chuí,dǎ
锤骨	chuí,gǔ
春分	chūn,fēn
春风	chūn,fēng
春化	chūn,huà
春假	chūn,jià
春节	chūn,jié
春景	chūn,jǐng
春卷	chūn,juǎn
春雨	chūn,yǔ
春令	chūn,lìng
春上	chūn,shàng
春种	chūn,zhòng
纯度	chún,dù
纯钢	chún,gāng
纯化	chún,huà
纯净	chún,jìng
纯朴	chún,piáo
纯正	chún,zhèng
纯种	chún,zhǒng
唇膏	chún,gāo
唇裂	chún,liè
淳厚	chún,hòu
淳美	chún,měi
淳化	chún,huà
淳于	chún,yú
醇和	chún,hé
醇化	chún,huà
醇朴	chún,piáo
醇正	chún,zhèng
绰绰	chuò,chuò
绰号	chuò,hào
绰约	chuò,yuē
呲牙	zī,yá
词调	cí,diào
词令	cí,lìng
词句	cí,jù
词曲	cí,qǔ
词条	cí,tiáo
词头	cí,tóu
词尾	cí,wěi
词语	cí,yǔ
慈父	cí,fù
辞别	cí,bié
慈和	cí,hé
辞句	cí,jù
辞令	cí,lìng
辞条	cí,tiáo
辞行	cí,xíng
磁场	cí,chǎng
磁化	cí,huà
磁石	cí,shí
磁体	cí,tǐ
磁头	cí,tóu
此地	cǐ,dì
此间	cǐ,jiān
次长	cì,zhǎng
次数	cì,shù
次要	cì,yào
刺柏	cì,bǎi
刺鼻	cì,bí
刺儿	cì,ér
刺刀	cì,dāo
刺耳	cì,ěr
刺骨	cì,gǔ
刺槐	cì,huái
刺客	cì,kè
刺激	cì,jī
刺啦	cī,lā
刺溜	cī,liū
刺目	cì,mù
刺配	cì,pèi
刺破	cì,pò
刺杀	cì,shā
刺伤	cì,shāng
刺史	cì,shǐ
刺探	cì,tàn
刺桐	cì,tóng
刺痛	cì,tòng
刺头	cì,tóu
刺网	cì,wǎng
刺猬	cì,wèi
刺绣	cì,xiù
刺眼	cì,yǎn
刺痒	cì,yáng
刺针	cì,zhēn
刺字	cì,zì
赐教	cì,jiào
赐给	cì,gěi
赐予	cì,yǔ
从不	cóng,bù
从此	cóng,cǐ
从动	cóng,dòng
从而	cóng,ér
从化	cóng,huà
从犯	cóng,fàn
从今	cóng,jīn
从教	cóng,jiào
从句	cóng,jù
从军	cóng,jūn
从来	cóng,lái
从良	cóng,liáng
从略	cóng,lüè
从命	cóng,mìng
从前	cóng,qián
从权	cóng,quán
从戎	cóng,róng
从容	cóng,róng
从师	cóng,shī
从实	cóng,shí
从事	cóng,shì
从俗	cóng,sú
从速	cóng,sù
从头	cóng,tóu
从先	cóng,xiān
从小	cóng,xiǎo
从新	cóng,xīn
从刑	cóng,xíng
从业	cóng,yè
从征	cóng,zhēng
从优	cóng,yōu
从政	cóng,zhèng
从中	cóng,zhōng
从众	cóng,zhòng
从属	cóng,shǔ
枞阳	zōng,yáng
葱头	cōng,tóu
葱绿	cōng,lǜ
凑趣	còu,qù
粗暴	cū,bào
凑数	còu,shù
粗浅	cū,qiǎn
撺弄	cuān,nòng
催发	cuī,fā
蹿跳	cuān,tiào
催化	cuī,huà
催迫	cuī,pò
摧折	cuī,shé
脆骨	cuì,gǔ
翠柏	cuì,bǎi
翠绿	cuì,lǜ
村长	cūn,zhǎng
村夫	cūn,fū
村落	cūn,luò
村上	cūn,shàng
村头	cūn,tóu
皴裂	cūn,liè
存查	cún,zhā
存单	cún,dān
存食	cún,shí
存疑	cún,yí
存亡	cún,wáng
存折	cún,zhé
忖度	cǔn,duó
寸楷	cùn,kǎi
忖量	cǔn,liàng
寸头	cùn,tóu
搓洗	cuō,xǐ
搓弄	cuō,nòng
撮合	cuō,hé
撮箕	cuō,jī
撮弄	cuō,nòng
撮要	cuō,yào
挫折	cuò,zhé
错车	cuò,chē
错处	cuò,chǔ
错过	cuò,guò
错觉	cuò,jué
错落	cuò,luò
错综	cuò,zōng
耷拉	dā,lā
搭便	dā,biàn
搭车	dā,chē
搭乘	dā,chéng
搭盖	dā,gài
搭载	dā,zài
搭拉	dā,lā
嗒嗒	dā,dā
嗒丧	tà,sàng
嗒然	tà,rán
达观	dá,guān
达摩	dá,mó
答案	dá,àn
答拜	dá,bài
答辩	dá,biàn
答词	dá,cí
答对	dá,duì
答复	dá,fù
答卷	dá,juàn
答话	dá,huà
答礼	dá,lǐ
答理	dā,lǐ
答腔	dā,qiāng
答数	dá,shù
答问	dá,wèn
答谢	dá,xiè
答言	dá,yán
答疑	dá,yí
答应	dā,yìng
答语	dá,yǔ
答允	dā,yǔn
打扮	dǎ,bàn
打靶	dǎ,bǎ
打败	dǎ,bài
打包	dǎ,bāo
打比	dǎ,bǐ
打草	dǎ,cǎo
打杈	dǎ,chà
打颤	dǎ,zhàn
打岔	dǎ,chà
打场	dǎ,cháng
打春	dǎ,chūn
打从	dǎ,cóng
打倒	dǎ,dǎo
打底	dǎ,dǐ
打点	dǎ,diǎn
打掉	dǎ,diào
打顶	dǎ,dǐng
打动	dǎ,dòng
打洞	dǎ,dòng
打斗	dǎ,dòu
打赌	dǎ,dǔ
打断	dǎ,duàn
打盹	dǎ,dǔn
打呃	dǎ,e
打发	dǎ,fā
打法	dǎ,fǎ
打翻	dǎ,fān
打分	dǎ,fēn
打嗝	dǎ,gé
打更	dǎ,gēng
打工	dǎ,gōng
打拱	dǎ,gǒng
打钩	dǎ,gōu
打谷	dǎ,gǔ
打鼓	dǎ,gǔ
打卦	dǎ,guà
打鬼	dǎ,guǐ
打滚	dǎ,gǔn
打鼾	dǎ,hān
打夯	dǎ,hāng
打横	dǎ,héng
打呼	dǎ,hū
打滑	dǎ,huá
打火	dǎ,huǒ
打诨	dǎ,hùn
打击	dǎ,jī
打架	dǎ,jià
打尖	dǎ,jiān
打浆	dǎ,jiāng
打搅	dǎ,jiǎo
打醮	dǎ,jiào
打劫	dǎ,jié
打结	dǎ,jié
打紧	dǎ,jǐn
打开	dǎ,kāi
打孔	dǎ,kǒng
打垮	dǎ,kuǎ
打捞	dǎ,lāo
打雷	dǎ,léi
打擂	dǎ,lèi
打理	dǎ,lǐ
打量	dǎ,liang
打猎	dǎ,liè
打乱	dǎ,luàn
打落	dǎ,luò
打骂	dǎ,mà
打门	dǎ,mén
打磨	dǎ,mó
打闹	dǎ,nào
打牌	dǎ,pái
打炮	dǎ,pào
打泡	dǎ,pào
打拼	dǎ,pīn
打破	dǎ,pò
打平	dǎ,píng
打谱	dǎ,pǔ
打气	dǎ,qì
打枪	dǎ,qiāng
打球	dǎ,qiú
打趣	dǎ,qù
打拳	dǎ,quán
打扰	dǎ,rǎo
打散	dǎ,sàn
打杀	dǎ,shā
打扫	dǎ,sǎo
打闪	dǎ,shǎn
打伤	dǎ,shāng
打手	dǎ,shǒu
打食	dǎ,shí
打水	dǎ,shuǐ
打算	dǎ,suàn
打胎	dǎ,tāi
打铁	dǎ,tiě
打探	dǎ,tàn
打听	dǎ,tīng
打通	dǎ,tōng
打头	dǎ,tóu
打退	dǎ,tuì
打弯	dǎ,wān
打问	dǎ,wèn
打响	dǎ,xiǎng
打下	dǎ,xià
打消	dǎ,xiāo
打旋	dǎ,xuán
打斜	dǎ,xié
打眼	dǎ,yǎn
打烊	dǎ,yàng
打样	dǎ,yàng
打药	dǎ,yào
打印	dǎ,yìn
打油	dǎ,yóu
打鱼	dǎ,yú
打援	dǎ,yuán
打杂	dǎ,zá
打造	dǎ,zào
打战	dǎ,zhàn
打仗	dǎ,zhàng
打针	dǎ,zhēn
打中	dǎ,zhòng
打皱	dǎ,zhòu
打住	dǎ,zhù
打转	dǎ,zhuǎn
打桩	dǎ,zhuāng
打字	dǎ,zì
打总	dǎ,zǒng
打坐	dǎ,zuò
打嘴	dǎ,zuǐ
大安	dà,ān
大案	dà,àn
大巴	dà,bā
大坝	dà,bà
大把	dà,bǎ
大白	dà,bái
大败	dà,bài
大班	dà,bān
大半	dà,bàn
大包	dà,bāo
大报	dà,bào
大杯	dà,bēi
大悲	dà,bēi
大北	dà,běi
大本	dà,běn
大笔	dà,bǐ
大便	dà,biàn
大兵	dà,bīng
大饼	dà,bǐng
大病	dà,bìng
大波	dà,bō
大伯	dà,bó
大部	dà,bù
大菜	dà,cài
大藏	dà,zàng
大餐	dà,cān
大肠	dà,cháng
大氅	dà,chǎng
大钞	dà,chāo
大潮	dà,cháo
大车	dà,chē
大臣	dà,chén
大成	dà,chéng
大城	dài,chéng
大乘	dà,chéng
大虫	dà,chóng
大处	dà,chù
大错	dà,cuò
大葱	dà,cōng
大大	dà,dà
大胆	dà,dǎn
大刀	dà,dāo
大道	dà,dào
大德	dà,dé
大堤	dà,dī
大敌	dà,dí
大抵	dà,dǐ
大帝	dà,dì
大地	dà,dì
大典	dà,diǎn
大殿	dà,diàn
大调	dà,diào
大都	dà,dū
大豆	dà,dòu
大度	dà,dù
大端	dà,duān
大队	dà,duì
大多	dà,duō
大发	dà,fā
大法	dà,fǎ
大凡	dà,fán
大方	dà,fāng
大分	dà,fēn
大粪	dà,fèn
大风	dà,fēng
大夫	dài,fū
大副	dà,fù
大纲	dà,gāng
大概	dà,gài
大干	dà,gàn
大哥	dà,gē
大工	dà,gōng
大公	dà,gōng
大功	dà,gōng
大姑	dà,gū
大鼓	dà,gǔ
大故	dà,gù
大褂	dà,guà
大观	dà,guān
大关	dà,guān
大官	dà,guān
大国	dà,guó
大过	dà,guò
大海	dà,hǎi
大寒	dà,hán
大汉	dà,hàn
大好	dà,hǎo
大号	dà,hào
大河	dà,hé
大红	dà,hóng
大亨	dà,hēng
大户	dà,hù
大话	dà,huà
大黄	dài,huáng
大会	dà,huì
大火	dà,huǒ
大吉	dà,jí
大伙	dà,huǒ
大计	dà,jì
大忌	dà,jì
大家	dà,jiā
大蓟	dà,jì
大驾	dà,jià
大江	dà,jiāng
大将	dà,jiàng
大脚	dà,jiǎo
大角	dà,jiǎo
大叫	dà,jiào
大街	dà,jiē
大节	dà,jié
大捷	dà,jié
大姐	dà,jiě
大解	dà,jiě
大襟	dà,jīn
大舅	dà,jiù
大举	dà,jǔ
大局	dà,jú
大嚼	dà,jué
大军	dà,jūn
大卡	dà,kǎ
大君	dà,jūn
大楷	dà,kǎi
大考	dà,kǎo
大课	dà,kè
大口	dà,kǒu
大块	dà,kuài
大款	dà,kuǎn
大老	dà,lǎo
大牢	dà,láo
大浪	dà,làng
大礼	dà,lǐ
大理	dà,lǐ
大吏	dà,lì
大历	dà,lì
大荔	dà,lì
大力	dà,lì
大连	dà,lián
大殓	dà,liàn
大梁	dà,liáng
大量	dà,liàng
大料	dà,liào
大陵	dà,líng
大龄	dà,líng
大溜	dà,liù
大陆	dà,lù
大路	dà,lù
大吕	dà,lǚ
大略	dà,lüè
大率	dà,shuài
大锣	dà,luó
大妈	dà,mā
大麻	dà,má
大麦	dà,mài
大忙	dà,máng
大毛	dà,máo
大媒	dà,méi
大门	dà,mén
大米	dà,mǐ
大面	dà,miàn
大名	dà,míng
大明	dà,míng
大漠	dà,mò
大拿	dà,ná
大内	dà,nèi
大难	dà,nàn
大脑	dà,nǎo
大鲵	dà,ní
大逆	dà,nì
大年	dà,nián
大娘	dà,niáng
大宁	dà,níng
大炮	dà,pào
大批	dà,pī
大片	dà,piàn
大气	dà,qì
大器	dà,qì
大钱	dà,qián
大桥	dà,qiáo
大墙	dà,qiáng
大青	dà,qīng
大庆	dà,qìng
大秋	dà,qiū
大曲	dà,qū
大区	dà,qū
大权	dà,quán
大全	dà,quán
大群	dà,qún
大人	dà,rén
大任	dà,rèn
大肉	dà,ròu
大儒	dà,rú
大赛	dà,sài
大嫂	dà,sǎo
大赦	dà,shè
大身	dà,shēn
大神	dà,shén
大婶	dà,shěn
大声	dà,shēng
大圣	dà,shèng
大使	dà,shǐ
大师	dà,shī
大市	dà,shì
大事	dà,shì
大寿	dà,shòu
大势	dà,shì
大书	dà,shū
大叔	dà,shū
大暑	dà,shǔ
大数	dà,shù
大树	dà,shù
大帅	dà,shuài
大顺	dà,shùn
大水	dà,shuǐ
大肆	dà,sì
大蒜	dà,suàn
大谈	dà,tán
大堂	dà,táng
大体	dà,tǐ
大田	dà,tián
大厅	dà,tīng
大通	dà,tōng
大同	dà,tóng
大统	dà,tǒng
大头	dà,tóu
大腿	dà,tuǐ
大腕	dà,wàn
大王	dài,wáng
大卫	dà,wèi
大尉	dà,wèi
大我	dà,wǒ
大悟	dà,wù
大戏	dà,xì
大喜	dà,xǐ
大系	dà,xì
大侠	dà,xiá
大厦	dà,shà
大限	dà,xiàn
大项	dà,xiàng
大象	dà,xiàng
大小	dà,xiǎo
大校	dà,xiào
大笑	dà,xiào
大写	dà,xiě
大兴	dà,xīng
大刑	dà,xíng
大型	dà,xíng
大姓	dà,xìng
大幸	dà,xìng
大修	dà,xiū
大选	dà,xuǎn
大学	dà,xué
大雪	dà,xuě
大牙	dà,yá
大雅	dà,yá
大烟	dà,yān
大盐	dà,yán
大雁	dà,yàn
大洋	dà,yáng
大样	dà,yàng
大爷	dà,yé
大要	dà,yào
大冶	dà,yě
大一	dà,yī
大业	dà,yè
大衣	dà,yī
大姨	dà,yí
大义	dà,yì
大意	dà,yì
大邑	dà,yì
大印	dà,yìn
大油	dà,yóu
大有	dà,yǒu
大余	dà,yú
大宇	dà,yǔ
大禹	dà,yǔ
大雨	dà,yǔ
大员	dà,yuán
大圆	dà,yuán
大院	dà,yuàn
大月	dà,yuè
大早	dà,zǎo
大约	dà,yuē
大枣	dà,zǎo
大灶	dà,zào
大战	dà,zhàn
大政	dà,zhèng
大指	dà,zhǐ
大志	dà,zhì
大治	dà,zhì
大致	dà,zhì
大智	dà,zhì
大钟	dà,zhōng
大众	dà,zhòng
大洲	dà,zhōu
大专	dà,zhuān
大壮	dà,zhuàng
